AMD Phenom X3 8750B,2008 2 Semester
AMD FX-670K,2014 1 Semester
Intel Pentium G4560T,2017 1 Semester
Intel Pentium G2030T,2013 1 Semester
AMD Phenom II X4 805,2009 1 Semester
Intel Pentium E5500,2010 1 Semester
AMD Athlon 64 X2 5600B,2008 2 Semester
Intel Core i5-2310,2011 1 Semester
Intel Core i5-3475S,2012 1 Semester
AMD Athlon 64 X2 4850B,2008 2 Semester
Intel Core i3-7300,2017 1 Semester
Intel Core i5-3330S,2012 2 Semester
Intel Pentium J2850,2013 2 Semester
AMD A10-7800,2014 1 Semester
Intel Core i3-6098P,2015 2 Semester
Intel Core i3-8350K,2017 2 Semester
Intel Core 2 Quad Q9500,2010 1 Semester
AMD Athlon II X4 651K,2012 1 Semester
AMD Phenom II X4 810,2009 1 Semester
AMD Ryzen Threadripper 1920X,2017 2 Semester
Intel Core i3-4150,2014 1 Semester
Intel Pentium G620T,2011 1 Semester
AMD Athlon X4 740,2012 2 Semester
Intel Celeron J1800,2013 2 Semester
Intel Core i7-4790T,2014 1 Semester
AMD Phenom X3 8750 ,2008 2 Semester
Intel Celeron G540T,2012 1 Semester
Intel Core i7-4790S,2014 1 Semester
Intel Pentium E6700,2010 1 Semester
AMD Athlon II X2 240e ,2009 2 Semester
AMD A10-7850K,2014 1 Semester
Intel Core i7-8700K,2017 2 Semester
AMD A8-6500B,2013 2 Semester
AMD PRO A12-8870,2016 2 Semester
AMD Athlon 5150,2014 1 Semester
AMD Phenom II X3 700e,2009 1 Semester
Intel Core i5-2300,2011 1 Semester
AMD A4-5300,2012 2 Semester
AMD A4-6300,2013 2 Semester
Intel Core 2 Duo E4400,2007 1 Semester
Intel Pentium G3460T,2015 1 Semester
Intel Core i5-3450S,2012 1 Semester
AMD A10-6700,2013 1 Semester
Intel Core i3-6320,2015 2 Semester
AMD Phenom II X4 940,2009 1 Semester
Intel Core 2 Quad Q8400,2009 1 Semester
AMD Phenom II X4 820,2009 2 Semester
AMD Athlon 64 LE-1640 ,2008 1 Semester
Intel Core i7-4790K,2014 1 Semester
Intel Core i7-6785R,2016 1 Semester
AMD Athlon II X2 B26,2010 1 Semester
AMD Ryzen 7 PRO 1700 ,2017 2 Semester
AMD Phenom X3 8850 ,2008 2 Semester
AMD Athlon X4 970,2017 2 Semester
Intel Pentium E5400,2009 1 Semester
AMD Athlon II X2 260 ,2010 1 Semester
AMD Athlon II X4 630 ,2009 2 Semester
AMD Phenom II X2 555 BE ,2010 1 Semester
AMD A4-4000,2013 1 Semester
Intel Core i5-3570S,2012 1 Semester
Intel Core i5-3570T,2012 1 Semester
AMD Athlon II X2 221,2012 1 Semester
Intel Pentium E2140,2007 1 Semester
AMD Athlon II X2 220,2010 1 Semester
Intel Core i5-3340S,2013 2 Semester
Intel Core i3-4170,2015 1 Semester
Intel Core i5-3570K,2012 1 Semester
Intel Core i3-7320,2017 1 Semester
AMD Phenom II X4 905e,2009 1 Semester
AMD Ryzen 5 PRO 1500 ,2017 2 Semester
AMD A8-9600,2016 2 Semester
AMD A6-5400K,2012 2 Semester
AMD Athlon X4 845,2016 1 Semester
Intel Pentium G630T,2011 2 Semester
AMD Athlon II X2 270u,2010 2 Semester
Intel Celeron E1400,2008 1 Semester
AMD Athlon X4 840,2014 2 Semester
Intel Core i5-6600K,2015 2 Semester
Intel Pentium E6600,2010 1 Semester
AMD A10 PRO-7850B,2014 2 Semester
Intel Core i5-6600T,2015 2 Semester
Intel Core i5-2320,2011 2 Semester
Intel Pentium G860T,2012 1 Semester
AMD A6-5400B,2012 2 Semester
AMD Athlon 5370,2016 1 Semester
Intel Pentium G3220T,2013 2 Semester
Intel Pentium G3450T,2014 2 Semester
Intel Core 2 Duo E4500,2007 2 Semester
AMD Phenom II X4 840,2011 1 Semester
AMD Athlon X2 370K,2013 1 Semester
Intel Core i3-4160,2014 2 Semester
AMD Phenom X4 9600,2007 2 Semester
Intel Celeron G530T,2011 2 Semester
AMD A6-3600,2011 2 Semester
Intel Core i3-6100,2015 2 Semester
AMD A6-3670K,2011 2 Semester
AMD Athlon II X4 605e ,2009 2 Semester
AMD Athlon II X2 B28,2010 2 Semester
AMD FX-4300,2012 2 Semester
AMD Athlon 64 X2 6000+ ,2008 1 Semester
Intel Core i5-5675C,2015 1 Semester
Intel Core i5-4670S,2013 1 Semester
Intel Core i5-4440S,2013 2 Semester
Intel Core i5-4670T,2013 1 Semester
AMD A8-6600K,2013 1 Semester
Intel Core i5-4670R,2013 1 Semester
AMD Athlon X4 950,2016 2 Semester
AMD Phenom X4 9350e,2008 2 Semester
Intel Core i5-4670K,2013 1 Semester
AMD A4-7300,2014 2 Semester
Intel Core 2 Duo E7600,2009 1 Semester
AMD Phenom II X4 850,2011 1 Semester
Intel Pentium E2160,2007 1 Semester
Intel Core 2 Quad Q9300,2008 1 Semester
AMD A4-4020,2014 1 Semester
AMD A8-8650,2015 2 Semester
Intel Core 2 Duo E6750,2007 2 Semester
AMD Phenom II X4 925 ,2009 1 Semester
AMD Ryzen Threadripper 1900X,2017 2 Semester
AMD A10-5700,2012 2 Semester
Intel Core i5-760,2010 2 Semester
AMD PRO A4-8350B,2015 2 Semester
AMD Athlon II X2 240,2009 2 Semester
AMD A4-3300 ,2011 2 Semester
AMD Athlon X4 750K,2012 2 Semester
Intel Core i3-4350,2014 1 Semester
AMD Phenom II X4 975,2011 1 Semester
Intel Core i7-5775C,2015 1 Semester
Intel Celeron E3400,2010 1 Semester
AMD FX-770K,2014 2 Semester
Intel Core i5-3550,2012 1 Semester
Intel Core i5-2450P,2012 1 Semester
AMD Athlon X4 940,2017 2 Semester
Intel Core i7-4770T,2013 1 Semester
Intel Core i5-6400T,2015 2 Semester
Intel Pentium E6500,2009 2 Semester
Intel Core i7-875K,2010 1 Semester
AMD Athlon 5350,2014 1 Semester
Intel Pentium G645,2012 2 Semester
AMD Phenom II X4 900e,2009 1 Semester
AMD Phenom II X4 980,2011 1 Semester
Intel Core i7-4770K,2013 1 Semester
Intel Core 2 Quad Q9650,2008 2 Semester
Intel Core i5-5675R,2015 1 Semester
Intel Core i7-6850K,2016 1 Semester
Intel Core 2 Quad Q8200,2008 2 Semester
Intel Pentium G3250T,2014 2 Semester
Intel Pentium E5300,2008 2 Semester
Intel Celeron J3060,2016 1 Semester
AMD Ryzen 7 1700,2017 1 Semester
AMD Phenom X4 9500,2007 2 Semester
Intel Core i5-750,2009 2 Semester
Intel Pentium G640,2012 1 Semester
Intel Core i7-7740X,2017 1 Semester
Intel Core i7-4770S,2013 1 Semester
Intel Core i7-4770R,2013 1 Semester
Intel Core i9-7960X,2017 2 Semester
Intel Core i3-4340,2013 2 Semester
AMD Athlon X4 860K,2014 2 Semester
AMD FX-4200,2012 1 Semester
Intel Core i3-3250,2013 1 Semester
AMD A8-5500B,2012 2 Semester
Intel Pentium G2020T,2013 1 Semester
Intel Core i5-4670,2013 1 Semester
AMD FX-4350,2013 1 Semester
Intel Core i5-4430,2013 1 Semester
Intel Core i5-3340,2013 2 Semester
AMD Phenom II X6 1090T,2010 1 Semester
Intel Core i5-4430S,2013 1 Semester
AMD A10-7700K,2014 1 Semester
Intel Pentium G645T,2012 2 Semester
AMD Athlon 64 X2 4850e,2008 1 Semester
Intel Pentium G632,2011 2 Semester
Intel Pentium G630,2011 2 Semester
AMD A12-9800E,2016 2 Semester
AMD Phenom II X2 B57,2010 2 Semester
Intel Core i5-6500T,2015 2 Semester
Intel Core i5-3550S,2012 1 Semester
Intel Pentium E2180,2007 2 Semester
Intel Core 2 Duo E6850,2007 2 Semester
AMD Athlon II X2 265,2010 2 Semester
Intel Pentium G870,2012 1 Semester
Intel Pentium E6300,2009 1 Semester
AMD Athlon II X4 620e,2011 1 Semester
AMD Athlon X4 760K,2013 1 Semester
Intel Core 2 Quad Q9400,2008 2 Semester
Intel Core i3-4130,2013 2 Semester
AMD A8-6500T,2013 2 Semester
Intel Core i3-4370,2014 2 Semester
AMD PRO A10-8770E,2016 2 Semester
Intel Core i5-3570,2012 1 Semester
Intel Celeron E3500,2010 2 Semester
Intel Core i5-3330,2012 2 Semester
Intel Core 2 Extreme QX9650,2007 2 Semester
Intel Celeron E1200,2008 1 Semester
Intel Core i5-3450,2012 1 Semester
Intel Core i5-6402P,2015 2 Semester
Intel Celeron J1900,2013 2 Semester
Intel Core 2 Extreme QX9775,2008 1 Semester
Intel Celeron G550T,2012 2 Semester
Intel Pentium G622,2011 1 Semester
AMD Phenom II X3 720 ,2009 1 Semester
Intel Pentium G620,2011 1 Semester
Intel Core 2 Extreme QX9770,2008 1 Semester
AMD Athlon II X4 635 ,2010 1 Semester
Intel Core i5-6600,2015 2 Semester
AMD Athlon 64 LE-1660,2008 1 Semester
AMD A4-6320,2014 1 Semester
Intel Pentium G3240T,2014 1 Semester
Intel Core 2 Duo E4300,2007 1 Semester
Intel Pentium E5200,2008 2 Semester
Intel Pentium G860,2011 2 Semester
Intel Core i3-6300,2015 2 Semester
Intel Core i3-2100T,2011 1 Semester
Intel Core i5-7600K,2017 1 Semester
Intel Pentium J3710,2016 1 Semester
AMD Athlon II X3 440 ,2010 1 Semester
AMD A4-3400 ,2011 2 Semester
AMD Athlon X4 870K,2015 2 Semester
Intel Core 2 Quad Q8300,2008 2 Semester
AMD FX-4100,2011 2 Semester
AMD Ryzen 5 PRO 1600 ,2017 2 Semester
AMD Athlon II X2 270,2011 1 Semester
Intel Core i3-4360,2014 1 Semester
Intel Core i5-7600T,2017 1 Semester
Intel Core i7-990X,2011 1 Semester
AMD FX-4130,2012 2 Semester
Intel Core i5-4570,2013 1 Semester
Intel Core i5-4690,2014 1 Semester
AMD Athlon 64 X2 4600+ ,2008 1 Semester
Intel Core i3-7100T,2017 1 Semester
Intel Core i3-4170T,2015 1 Semester
Intel Core i7-7800X,2017 1 Semester
Intel Celeron J4005,2017 2 Semester
Intel Core i5-7600,2017 1 Semester
AMD A6-6400K,2013 1 Semester
Intel Core i7-970,2010 2 Semester
Intel Core 2 Duo E7400,2008 2 Semester
AMD Athlon II X4 610e,2010 1 Semester
Intel Core i7-5960X,2014 2 Semester
Intel Core i7-975,2009 1 Semester
Intel Core i7-8700,2017 2 Semester
Intel Core 2 Duo E6550,2007 2 Semester
AMD A6-6400B,2013 2 Semester
AMD Phenom II X4 945 ,2009 2 Semester
Intel Core i7-4785T,2014 1 Semester
AMD A8-5500,2012 2 Semester
AMD Phenom II X6 1045T,2010 2 Semester
AMD Athlon II X2 255 ,2010 1 Semester
Intel Core i5-3470,2012 1 Semester
Intel Pentium G4400T,2015 2 Semester
AMD A6-8550,2015 2 Semester
Intel Core i5-4440,2013 2 Semester
Intel Core i7-3770T,2012 1 Semester
Intel Core i7-3770S,2012 1 Semester
AMD A10 PRO-7800B,2014 2 Semester
Intel Core 2 Duo E8600,2008 2 Semester
AMD Phenom II X3 710,2009 1 Semester
Intel Core i7-3770K,2012 1 Semester
Intel Core i5-6500,2015 2 Semester
Intel Core i7-980,2011 1 Semester
AMD Phenom II X2 550 BE ,2009 1 Semester
Intel Core i7-860,2009 2 Semester
Intel Core 2 Duo E6420,2007 1 Semester
Intel Core 2 Duo E6540,2007 2 Semester
AMD Athlon II X3 420e,2010 2 Semester
Intel Core 2 Quad Q9450,2008 1 Semester
Intel Pentium G3420T,2013 2 Semester
Intel Core i3-8100,2017 2 Semester
Intel Core i7-870S,2010 2 Semester
Intel Core i9-7940X,2017 2 Semester
AMD Phenom X3 8600B ,2008 1 Semester
AMD FX-6300,2012 2 Semester
AMD FX-6330,2015 2 Semester
AMD Athlon 64 X2 4450e,2008 1 Semester
AMD Ryzen 3 1300X,2017 2 Semester
Intel Core i7-6950X,2016 1 Semester
Intel Core i5-4590,2014 1 Semester
Intel Core i3-4160T,2014 2 Semester
AMD A8-7650K,2015 1 Semester
AMD A6-9550,2017 2 Semester
Intel Core i5-2550K,2012 1 Semester
Intel Core i5-7500,2017 1 Semester
Intel Core i7-870,2009 2 Semester
Intel Core 2 Duo E7500,2009 1 Semester
AMD Athlon II X4 600e,2009 2 Semester
AMD Phenom II X2 560 BE,2010 2 Semester
AMD PRO A10-8750B,2015 2 Semester
AMD A10-6700T,2013 2 Semester
Intel Core i7-980X,2010 1 Semester
Intel Core i5-4460,2014 1 Semester
AMD Athlon II X2 245 ,2009 2 Semester
AMD FX-6200,2012 1 Semester
Intel Pentium G2120T,2013 1 Semester
AMD Athlon 64 X2 4450B,2008 1 Semester
AMD PRO A6-9500,2016 2 Semester
AMD Athlon 64 3500+ ,2007 1 Semester
AMD Athlon 64 X2 BE-2350 ,2007 1 Semester
Intel Core i5-6400,2015 2 Semester
Intel Core i7-5775R,2015 1 Semester
Intel Core 2 Quad Q9550,2008 1 Semester
AMD Athlon 64 X2 3250e ,2008 2 Semester
Intel Core i7-880,2010 1 Semester
AMD Phenom II X4 910e,2010 1 Semester
Intel Celeron J3160,2016 1 Semester
Intel Core i7-860S,2010 1 Semester
AMD Athlon II X3 425,2009 2 Semester
Intel Core i5-3335S,2012 2 Semester
AMD A8-6500,2013 1 Semester
Intel Core i5-7400,2017 1 Semester
AMD Athlon II X3 450,2010 2 Semester
AMD A4-5300B,2012 2 Semester
AMD PRO A10-8850B,2015 2 Semester
AMD FX-4170,2012 1 Semester
AMD A6-7400K,2014 1 Semester
AMD Athlon II X3 455,2010 2 Semester
AMD FX-6350,2012 2 Semester
AMD Athlon II X2 250 ,2009 1 Semester
Intel Core 2 Quad Q9550S,2009 1 Semester
Intel Celeron J3355,2016 2 Semester
Intel Core i3-7350K,2017 1 Semester
AMD A6-6420K,2014 1 Semester
Intel Core i7-7820X,2017 1 Semester
Intel Core 2 Duo E7200,2008 1 Semester
Intel Core i7-930,2010 1 Semester
Intel Core i5-655K,2010 1 Semester
Intel Core i3-7100,2017 1 Semester
AMD Phenom II X4 965 ,2009 2 Semester
AMD Phenom II X6 1065T,2010 2 Semester
Intel Core i7-4765T,2013 1 Semester
AMD A8-7600,2014 1 Semester
Intel Core i7-7700K,2017 1 Semester
AMD Sempron 140,2009 2 Semester
AMD FX-6100,2011 2 Semester
AMD Sempron 145,2010 1 Semester
AMD Athlon II X3 445,2010 1 Semester
Intel Celeron E1500,2008 2 Semester
Intel Core i7-4960X,2013 2 Semester
Intel Core 2 Duo E8400,2008 1 Semester
Intel Core i5-750S,2010 1 Semester
Intel Core i7-4790,2014 1 Semester
Intel Core i7-7700T,2017 1 Semester
AMD A4 PRO-7350B,2014 2 Semester
